razaoSocial,idFilial,idMaquina,componente,especificacao,metrica,valorCapturado,momento
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.1,2025-04-22 18:24:10
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.1,2025-04-22 18:24:10
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,7.7,2025-04-22 18:24:24
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,7.7,2025-04-22 18:24:24
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,9.8,2025-04-22 18:24:38
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,9.8,2025-04-22 18:24:38
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,5.3,2025-04-22 18:24:52
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,5.3,2025-04-22 18:24:52
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.7,2025-04-22 18:25:06
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.7,2025-04-22 18:25:06
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.7,2025-04-22 18:25:20
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.7,2025-04-22 18:25:20
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.3,2025-04-22 18:25:34
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.3,2025-04-22 18:25:34
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.5,2025-04-22 18:25:48
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.5,2025-04-22 18:25:48
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.7,2025-04-22 18:26:02
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,4.7,2025-04-22 18:26:02
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.9,2025-04-22 18:26:17
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.9,2025-04-22 18:26:17
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.7,2025-04-22 18:26:31
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.7,2025-04-22 18:26:31
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.4,2025-04-22 18:26:45
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,3.4,2025-04-22 18:26:45
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,5.6,2025-04-22 18:26:59
TAM LINHAS AÉREAS S.A. A LATAM,1,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,5.6,2025-04-22 18:26:59
