terminal,setor,idMaquina,componente,especificacao,metrica,valorCapturado,momento
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,20.5,2025/05/20 20:36:13
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,226,2025/05/20 20:36:13
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174435,2025/05/20 20:36:13
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,91.1,2025/05/20 20:36:13
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:36:13
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,264,2025/05/20 20:36:15
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,38796,2025/05/20 20:36:17
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,20.8,2025/05/20 20:36:27
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,225,2025/05/20 20:36:27
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174449,2025/05/20 20:36:27
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,91.9,2025/05/20 20:36:27
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:36:27
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,9610,2025/05/20 20:36:29
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,131579,2025/05/20 20:36:31
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,18.9,2025/05/20 20:36:41
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,225,2025/05/20 20:36:41
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174463,2025/05/20 20:36:41
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,91.4,2025/05/20 20:36:41
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:36:41
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,29062,2025/05/20 20:36:43
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,50146,2025/05/20 20:36:45
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.7,2025/05/20 20:36:55
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,226,2025/05/20 20:36:55
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174477,2025/05/20 20:36:55
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,92.5,2025/05/20 20:36:55
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:36:55
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,28741,2025/05/20 20:36:57
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,24984,2025/05/20 20:36:59
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,24.4,2025/05/20 20:37:09
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,226,2025/05/20 20:37:09
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174491,2025/05/20 20:37:09
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,92.9,2025/05/20 20:37:09
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:37:09
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,26478,2025/05/20 20:37:12
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,30264,2025/05/20 20:37:14
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,13.9,2025/05/20 20:37:24
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,225,2025/05/20 20:37:24
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174506,2025/05/20 20:37:24
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,90.6,2025/05/20 20:37:24
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:37:24
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,30929,2025/05/20 20:37:26
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,24648,2025/05/20 20:37:28
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,porcentagemUso,12.9,2025/05/20 20:37:38
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,processos,225,2025/05/20 20:37:38
GRU,Embarque Internacional,1,Processador,AMD Ryzen 3 PRO 3200GE w/ Radeon Vega Graphics,tempoAtividade,174520,2025/05/20 20:37:38
GRU,Embarque Internacional,1,RAM,KingstonKingston,porcentagemUso,89.7,2025/05/20 20:37:38
GRU,Embarque Internacional,1,Armazenamento,KINGSTON SA400S37240G,porcentagemUso,96.6,2025/05/20 20:37:38
GRU,Embarque Internacional,1,Rede,,velocidadeDownload,29018,2025/05/20 20:37:40
GRU,Embarque Internacional,1,Rede,,velocidadeUpload,37452,2025/05/20 20:37:42
